Player,ERA,# All Star Appearances,Hall of Fame Induction Year
alexape01,,0,1938
ansonca01,,0,1939
becklja01,,0,1971
bendech01,,0,1953
blylebe01,2.93,3,2011
boggswa01,,0,2005
bresnro01,,0,1945
broutda01,,0,1945
brownmo01,,0,1949
bunniji01,3.18,9,1996
burkeje01,,0,1946
carltst01,2.8,10,1994
chesbja01,,0,1946
clarkjo01,,0,1963
cobbty01,,0,1936
comisch01,,0,1939
covelst01,,0,1969
cummica01,,0,1939
davisge01,,0,1998
deandi01,2.89,4,1953
drysddo01,2.81,9,1984
eckerde01,2.52,6,2004
ewingbu01,,0,1939
faberre01,,0,1964
fellebo01,3.07,8,1962
fingero01,2.31,7,1992
fordwh01,2.67,10,1974
foxxji01,0.0,1,1951
galvipu01,,0,1965
gibsobo01,2.53,9,1981
glavito02,3.07,10,2014
gomezle01,3.17,7,1972
gossari01,2.16,9,2008
griffcl01,,0,1946
grimebu01,,0,1964
grovele01,2.89,6,1947
haineje01,,0,1970
hoopeha01,,0,1971
hoytwa01,,0,1969
hubbeca01,3.0,9,1947
hunteca01,3.08,8,1987
jenkife01,2.92,3,1991
johnsra05,2.74,10,2015
johnswa01,,0,1936
jossad01,,0,1978
keefeti01,,0,1964
kellyge01,,0,1973
kellyki01,,0,1945
koufasa01,2.24,7,1972
lasorto01,,0,1997
lemonbo01,3.11,7,1976
lyonste01,2.76,1,1955
maddugr01,2.34,8,2014
maricju01,2.54,10,1983
marquru01,,0,1971
martipe02,2.73,8,2015
mathech01,,0,1936
mccarto01,,0,1946
mcginjo01,,0,1946
musiast01,0.0,1,1969
newhoha01,2.48,7,1992
nichoki01,,0,1949
niekrph01,3.07,5,1997
odayha01,,0,2013
orourji01,,0,1945
paigesa01,3.3,2,1971
palmeji01,2.49,6,1990
pennohe01,,0,1948
perryga01,2.74,5,1991
planked01,,0,1946
radboch01,,0,1939
ricesa01,,0,1963
rixeyep01,,0,1963
roberro01,3.16,7,1976
ruffire01,3.38,6,1967
rusieam01,,0,1977
ruthba01,5.0,1,1936
ryanno01,2.96,8,1999
seaveto01,2.5,13,1992
sislege01,,0,1939
smoltjo01,2.86,8,2015
spahnwa01,2.85,17,1973
spaldal01,,0,1939
speaktr01,,0,1937
suttebr01,2.26,6,2006
suttodo01,2.64,4,1998
vanceda01,,0,1955
wadderu01,,0,1946
wagneho01,,0,1936
wallabo01,,0,1953
walshed01,,0,1946
wardjo01,,0,1964
welchmi01,,0,1973
whitede01,,0,2013
wilheho01,3.73,9,1985
willite01,4.5,1,1966
willivi01,,0,1995
wrighge01,,0,1937
wrighha01,,0,1953
wynnea01,3.44,8,1972
youngcy01,,0,1937
