Year,Regular Season ERA,Regular Season Win/Loss,Post-season ERA,Post-season Win/Loss
1871,3.16,54,,
1872,2.74,69,,
1873,2.36,48,,
1874,2.77,40,,
1875,1.52,71,,
1876,0.38,48,,
1877,2.57,62,,
1878,1.96,50,,
1879,2.11,59,,
1880,1.06,62,,
1881,2.0,61,,
1882,0.43,60,,
1883,0.87,64,,
1884,0.51,57,,
1885,0.72,75,,
1886,1.15,43,4.05,25
1887,0.72,52,,
1888,0.96,60,3.835,41
1889,0.63,91,,
1890,0.26,100,,
1891,0.88,54,,
1892,1.25,73,3.0,0
1893,2.69,60,,
1894,1.46,75,,
1895,1.5,81,,
1896,1.1,65,,
1897,2.53,57,,
1898,1.54,59,,
1899,0.45,100,,
1900,1.48,60,,
1901,0.39,56,,
1902,0.1,100,,
1903,0.68,67,,
1904,1.11,54,,
1905,1.05,60,0.0,100
1906,0.58,47,3.66,33
1907,0.48,63,1.0,100
1908,0.38,86,,
1909,0.34,93,1.33,100
1910,0.23,49,,
1911,0.46,60,,
1912,0.0,,,
1913,0.0,67,,
1914,0.0,0,,
1915,0.0,100,,
1916,0.44,69,,
1917,0.28,42,,
1918,0.0,0,,
1919,0.05,,,
1920,0.0,100,,
1921,0.11,100,,
1922,0.23,50,,
1923,0.0,0,,
1924,0.0,0,,
1925,0.35,83,,
1926,0.3,50,,
1927,0.32,72,,
1928,0.0,50,,
1929,0.72,65,,
1930,0.96,79,1.42,66
1931,1.93,59,2.42,66
1932,0.08,100,,
1933,1.4,57,0.8166666666666668,100
1934,0.93,67,,
1935,1.64,80,,
1936,0.55,44,2.25,50
1937,0.55,100,,
1938,0.68,88,6.48,0
1939,0.0,100,,
1940,0.47,100,,
1941,0.64,74,,
1942,0.0,100,,
1943,0.45,49,3.68,0
1944,0.0,0,,
1945,0.57,83,,
1946,0.1,50,,
1947,0.2,100,,
1948,0.0,100,,
1949,0.44,80,,
1950,0.38,50,,
1951,0.88,61,0.0,
1952,0.0,100,,
1953,0.96,68,,
1954,0.72,75,,
1955,0.13,25,,
1956,0.11,,,
1957,0.1,,,
1958,0.35,83,,
1959,0.23,100,,
1960,1.14,80,13.5,
1961,0.38,68,,
1962,0.0,100,,
1963,0.73,37,,
1964,0.61,77,,
1965,0.0,100,,
1966,0.0,100,,
1967,0.0,100,,
1968,0.0,50,,
1969,0.0,100,,
1970,0.31,100,,
1971,0.0,100,,
1972,0.0,100,,
1973,0.26,83,,
1974,0.23,50,,
1975,0.11,100,,
1976,0.44,75,6.505,
1977,0.27,43,,
1978,0.0,50,,
1979,0.0,,,
1980,0.96,87,3.19,25
1981,0.11,100,,
1982,0.63,71,,
1983,0.56,42,,
1984,0.0,100,,
1985,0.0,100,,
1986,0.25,92,,
1987,0.12,100,,
1988,0.0,,,
1989,0.24,50,,
1990,0.0,100,,
1991,0.0,,,
1992,0.73,92,5.625,66
1993,0.0,100,,
1994,0.19,,,
1995,0.0,,,
1996,0.0,0,0.0,
1997,0.08,100,,
1998,0.0,100,,
1999,0.0,,,
2000,0.0,100,,
2001,0.0,100,,
2002,0.0,100,,
2003,0.0,0,,
2004,0.0,100,,
2005,0.1,0,,
2006,0.06,100,,
2007,0.0,,,
2008,0.0,100,0.0,
2009,0.0,100,,
2010,0.0,100,0.0,
2011,0.0,,,
2012,0.0,100,,
2013,0.0,100,,
2014,0.0,100,,
2015,0.0,100,,
2016,0.0,,,
