Team ID,Year,Rank,At Bats
PH1,1871,1,1281
RC1,1871,9,1036
BS1,1872,1,2137
WS4,1872,11,460
BS1,1873,1,2755
BL4,1873,9,211
BS1,1874,1,3122
BL1,1874,8,1781
BS1,1875,1,3516
KEO,1875,13,449
CHN,1876,1,2748
CN1,1876,8,2372
BSN,1877,1,2368
CN1,1877,6,2135
BSN,1878,1,2220
ML2,1878,6,2212
PRO,1879,1,3392
TRN,1879,8,2841
CHN,1880,1,3135
CN1,1880,8,2895
CHN,1881,1,3114
WOR,1881,8,3093
CHN,1882,1,3225
CN2,1882,1,3007
WOR,1882,8,2984
BSN,1883,1,3657
PH4,1883,1,3714
BL2,1883,8,3534
PHI,1883,8,3576
NY4,1884,1,4012
PRO,1884,1,4093
SLU,1884,1,4285
WS7,1884,13,2166
CHN,1885,1,4093
SL4,1885,1,3972
BL2,1885,8,3820
SL5,1885,8,3758
CHN,1886,1,4378
SL4,1886,1,5009
BL2,1886,8,4639
WS8,1886,8,4082
DTN,1887,1,4689
SL4,1887,1,5048
CL3,1887,8,4649
IN3,1887,8,4368
NY1,1888,1,4747
SL4,1888,1,4755
KC2,1888,8,4588
WS8,1888,8,4546
BR3,1889,1,4815
NY1,1889,1,4671
LS2,1889,8,4955
WS8,1889,8,4395
BRO,1890,1,4419
BSP,1890,1,4626
LS2,1890,1,4687
BR4,1890,9,3475
BS2,1891,1,4889
BSN,1891,1,4956
WS9,1891,9,4715
BSN,1892,1,5301
BLN,1892,12,5296
BSN,1893,1,4678
WAS,1893,12,4742
BLN,1894,1,4799
LS3,1894,12,4482
BLN,1895,1,4725
LS3,1895,12,4724
BLN,1896,1,4719
LS3,1896,12,4588
BSN,1897,1,4937
SLN,1897,12,4642
BSN,1898,1,5276
SLN,1898,12,5214
BRO,1899,1,4937
CL4,1899,12,5279
BRO,1900,1,4860
NY1,1900,8,4724
CHA,1901,1,4725
PIT,1901,1,4913
CIN,1901,8,4914
MLA,1901,8,4795
PHA,1902,1,4762
PIT,1902,1,4926
BLA,1902,8,4760
NY1,1902,8,4571
BOS,1903,1,4919
PIT,1903,1,4988
SLN,1903,8,4689
WS1,1903,8,4613
